dataset,baseline,coarsening_ratio,len_subgraph_list,tot_num_extra_nodes,avg_extra_nodes,max_extra_nodes,tot_num_orig_nodes,tot_num_orig_nodes_squared,sum_squares_subgraph_nodes,x,y,edge_index,train_mask,val_mask,test_mask,total
cora,False,0.0,162,827,5.104938271604938,409,2708,7333264,5345530.999999999,405252400,282800,2106240,282800,282800,282800,408489840
cora,False,0.1,408,3705,9.080882352941176,185,2708,7333264,370256.99999999994,735186320,513040,3130240,513040,513040,513040,740368720
cora,False,0.3,928,5725,6.169181034482759,176,2708,7333264,184105.0,966759120,674640,3717440,674640,674640,674640,973175120
cora,False,0.5,1445,7035,4.868512110726644,166,2708,7333264,156097.0,1116937520,779440,4035520,779440,779440,779440,1124090800
cora,False,0.7,1957,8366,4.27491057741441,166,2708,7333264,142886.0,1269523360,885920,4368000,885920,885920,885920,1277435040
cora,False,1.0,2708,10556,3.8980797636632203,168,2708,7333264,138978.0,1520584960,1061120,4942720,1061120,1061120,1061120,1529772160
citeseer,False,0.0,912,1088,1.1929824561403508,48,3327,11068929,2601549.0,1307899600,353200,1654720,353200,353200,353200,1310967120
citeseer,False,0.1,1123,2911,2.5921638468388246,107,3327,11068929,216828.0,1847945120,499040,2440640,499040,499040,499040,1852381920
citeseer,False,0.3,1654,4710,2.84764207980653,100,3327,11068929,102223.00000000001,2380880880,642960,3033280,642960,642960,642960,2386486000
citeseer,False,0.5,2152,5916,2.7490706319702602,100,3327,11068929,87121.0,2738146320,739440,3269120,739440,739440,739440,2744373200
citeseer,False,0.7,2663,7124,2.6751783702591063,100,3327,11068929,83615.0,3096004240,836080,3526720,836080,836080,836080,3102875280
citeseer,False,1.0,3327,9104,2.7363991584009617,99,3327,11068929,84474.99999999999,3682559440,994480,4033600,994480,994480,994480,3690570960
pubmed,False,0.0,20,1044,52.2,390,19717,388760089,369353389.0,830440000,1660880,14659200,1660880,1660880,1660880,851742720
pubmed,False,0.1,1972,49636,25.170385395537526,276,19717,388760089,5141431.0,2774120000,5548240,38865280,5548240,5548240,5548240,2835178240
pubmed,False,0.3,5917,64090,10.831502450566166,248,19717,388760089,2604917.0,3352280000,6704560,39777280,6704560,6704560,6704560,3418875520
pubmed,False,0.5,9859,68644,6.9625722689927985,248,19717,388760089,2505439.0,3534440000,7068880,39787200,7068880,7068880,7068880,3602502720
pubmed,False,0.7,13802,74025,5.363353137226489,248,19717,388760089,2301522.0000000005,3749680000,7499360,39817280,7499360,7499360,7499360,3819494720
pubmed,False,1.0,19717,88648,4.496018664096972,171,19717,388760089,1684344.9999999998,4334600000,8669200,40386560,8669200,8669200,8669200,4409663360
dblp,False,0.0,1308,2741,2.095565749235474,447,17716,313856656,229718523.00000003,2682321840,1636560,18067840,0,0,0,2702026240
dblp,False,0.1,2911,56380,19.367914805908622,534,17716,313856656,9356230.0,9715467520,5927680,60453760,0,0,0,9781848960
dblp,False,0.3,6252,70677,11.304702495201536,371,17716,313856656,3869199.0000000005,11590090160,7071440,62295040,0,0,0,11659456640
dblp,False,0.5,9558,78059,8.166875915463486,371,17716,313856656,3560741.0,12558018000,7662000,63401280,0,0,0,12629081280
dblp,False,0.7,12849,86553,6.736166238617791,371,17716,313856656,3206609.0,13671751280,8341520,64405120,0,0,0,13744497920
dblp,False,1.0,17716,105734,5.96827726349063,339,17716,313856656,2408740.0,16186764000,9876000,69027520,0,0,0,16265667520
Physics,False,0.0,35,3319,94.82857142857142,1478,34493,1189767049,1165802647.9999998,25455038400,3024960,82711040,0,0,0,25540774400
Physics,False,0.1,3450,258602,74.95710144927536,1278,34493,1189767049,76603344.99999999,197311554000,23447600,420858880,0,0,0,197755860480
Physics,False,0.3,10348,305705,29.542423656745264,697,34493,1189767049,31702052.000000004,229021293600,27215840,435834880,0,0,0,229484344320
Physics,False,0.5,17247,340757,19.757465066388356,697,34493,1189767049,30649786.0,252618300000,30020000,459185600,0,0,0,253107505600
Physics,False,0.7,24146,391125,16.198335127971507,697,34493,1189767049,27863477.999999996,286526037600,34049440,503396160,0,0,0,287063483200
Physics,False,1.0,34493,495924,14.37752587481518,382,34493,1189767049,16521531.0,357076724400,42433360,608503680,0,0,0,357727661440
cora,True,None,None,None,None,None,2708,7333264,None,310445120,216640,1688960,216640,216640,216640,313000640
citeseer,True,None,None,None,None,None,3327,11068929,None,985590480,266160,1456640,266160,266160,266160,988111760
pubmed,True,None,None,None,None,None,19717,388760089,None,788680000,1577360,14183680,1577360,1577360,1577360,809173120
dblp,True,None,None,None,None,None,17716,313856656,None,2322921920,1417280,16917440,0,0,0,2341256640
Physics,True,None,None,None,None,None,34493,1189767049,None,23220687600,2759440,79347840,0,0,0,23302794880